PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 05:19:50.199,1512158912,cb:92:c6:2b:61:dd,-38,0x1EFF4C001219000D3778C8B9E3FAE65FA21B96A656E937FF36AD0CA8080100,31,0,0,1,0
2026-05-03 05:19:51.152,1513122838,c5:5e:f7:92:2f:30,-12,0x07FF4C0012020003,8,0,0,1,0
2026-05-03 05:19:55.207,1517142866,c5:5e:f7:92:2f:30,-12,0x07FF4C0012020003,8,0,0,1,0
2026-05-03 05:19:57.175,1519137353,c5:5e:f7:92:2f:30,-12,0x07FF4C0012020003,8,0,0,1,0
2026-05-03 05:19:59.207,1521150811,c5:5e:f7:92:2f:30,-12,0x07FF4C0012020003,8,0,0,1,0
2026-05-03 05:20:01.172,1523143030,c5:5e:f7:92:2f:30,-12,0x07FF4C0012020003,8,0,0,1,0
2026-05-03 05:20:03.266,1525172428,c5:5e:f7:92:2f:30,-12,0x07FF4C0012020003,8,0,0,1,0
2026-05-03 05:20:05.237,1527178164,c5:5e:f7:92:2f:30,-12,0x07FF4C0012020003,8,0,0,1,0
2026-05-03 05:20:05.754,1527681980,c5:5e:f7:92:2f:30,-12,0x07FF4C0012020003,8,0,0,1,0
2026-05-03 05:20:06.025,1527990686,c5:5e:f7:92:2f:30,-12,0x1EFF4C001219001B960670BF872D3C322745928D3C63FD110D0F14C9D20300,31,0,0,1,0
2026-05-03 05:20:08.036,1530005536,c5:5e:f7:92:2f:30,-12,0x1EFF4C001219001B960670BF872D3C322745928D3C63FD110D0F14C9D20300,31,0,0,1,0
2026-05-03 05:20:10.037,1532003826,c5:5e:f7:92:2f:30,-12,0x1EFF4C001219001B960670BF872D3C322745928D3C63FD110D0F14C9D20300,31,0,0,1,0
2026-05-03 05:20:12.081,1534009679,c5:5e:f7:92:2f:30,-12,0x1EFF4C001219001B960670BF872D3C322745928D3C63FD110D0F14C9D20300,31,0,0,1,0
2026-05-03 05:20:14.035,1536001934,c5:5e:f7:92:2f:30,-12,0x1EFF4C001219001B960670BF872D3C322745928D3C63FD110D0F14C9D20300,31,0,0,1,0
2026-05-03 05:20:16.053,1538013245,c5:5e:f7:92:2f:30,-12,0x1EFF4C001219001B960670BF872D3C322745928D3C63FD110D0F14C9D20300,31,0,0,1,0
2026-05-03 05:20:18.038,1540011663,c5:5e:f7:92:2f:30,-12,0x1EFF4C001219001B960670BF872D3C322745928D3C63FD110D0F14C9D20300,31,0,0,1,0
2026-05-03 05:20:20.071,1542037653,c5:5e:f7:92:2f:30,-16,0x1EFF4C001219001B960670BF872D3C322745928D3C63FD110D0F14C9D20300,31,0,0,1,0
