Time (us),Address,RSSI (dBm),Raw data,Connectable,Addr Type
24489876754,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24491895767,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24493921010,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24495896967,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24497896256,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24499908705,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24501919461,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24503911889,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24505911231,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24509919434,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24511929655,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24515934317,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24517941956,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24519952735,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24521978528,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24523960807,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24525970640,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24528008124,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24529983727,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24531988450,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24537999567,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24539999726,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24542000589,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24544007595,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24546021028,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24548043038,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24550079062,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24552034009,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24554049741,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24558073022,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24560066484,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24562088126,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24564078468,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24566077147,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24568077788,DF:F7:AE:55:E9:40,-27,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24572093701,DF:F7:AE:55:E9:40,-22,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24574091945,DF:F7:AE:55:E9:40,-24,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24576126043,DF:F7:AE:55:E9:40,-25,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
24578093165,DF:F7:AE:55:E9:40,-28,0x1EFF4C00121900BF30F655D6A87F5F30BFD52419E7CA55502816E953FD0200,0,1
