Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Gravity_X,Gravity_Y,Gravity_Z,Orientation_Azimuth,Position_X,Position_Y,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Step_Count
2026-01-07 14:13:25.188,-0.24241292,2.7042508,11.431715,0.10279499,0.047003407,0.029959679,48.768753,-17.56875,-25.968752,0.22965075,2.9380112,9.353381,257.27774,0.0,0.0,-0.47206366,-0.23376036,2.0783339,0
2026-01-07 14:13:25.238,0.095768064,3.1226375,9.427768,0.45445505,0.053394806,0.08641703,49.0875,-17.19375,-26.41875,0.1861624,3.0789382,9.308913,260.59723,0.0,0.0,-0.09039433,0.043699265,0.11885452,0
2026-01-07 14:13:25.289,0.47405192,2.2762873,9.062652,0.3190373,0.008655018,-0.066976525,49.18125,-16.96875,-25.743752,0.21350092,3.2366588,9.254665,257.88724,0.0,0.0,0.260551,-0.9603715,-0.19201374,0
2026-01-07 14:13:25.339,0.45130703,3.2914288,9.925761,0.7260895,0.5444672,-0.6604445,48.956253,-18.4125,-24.45,0.04114699,3.408448,9.195171,258.03418,0.0,0.0,0.41016003,-0.11701918,0.73058987,0
2026-01-07 14:13:25.388,-0.38726214,3.2615013,8.848969,0.95724505,-0.43461508,-0.67961866,50.006252,-18.018751,-22.5,-0.13901,3.778071,9.048604,260.2832,0.0,0.0,-0.24825214,-0.5165696,-0.19963455,0
2026-01-07 14:13:25.439,-0.80445176,5.295376,7.8128786,0.6302185,0.0022636203,-0.30146095,52.18125,-17.081251,-20.19375,-0.113505326,4.1904044,8.865552,270.06232,0.0,0.0,-0.69094646,1.1049714,-1.0526733,0
2026-01-07 14:13:25.489,-0.83018947,4.935048,7.690176,-0.083620794,0.46137905,0.1631138,53.100002,-17.5125,-18.91875,-0.26759702,4.377304,8.77143,268.21622,0.0,0.0,-0.56259245,0.557744,-1.081254,0
2026-01-07 14:13:25.539,-0.14724341,4.2054152,9.231443,-0.09959929,-0.05419373,0.13648298,52.687504,-17.8125,-18.9375,-0.33035663,4.3038783,8.80556,261.3024,0.0,0.0,0.18311322,-0.09846306,0.4258833,0
2026-01-07 14:13:25.590,-0.019153614,4.1078515,8.941745,0.091077425,-0.004127778,0.07682993,51.956253,-18.056252,-18.862501,-0.28057182,4.3046656,8.806902,260.71567,0.0,0.0,0.2614182,-0.19681406,0.13484287,0
2026-01-07 14:13:25.640,-0.2681506,4.460996,8.665813,0.007989247,0.25898477,0.06830807,51.99375,-17.625,-18.73125,-0.30113438,4.334698,8.791479,262.9334,0.0,0.0,0.03298378,0.12629795,-0.12566566,0
2026-01-07 14:13:25.690,0.34596214,3.6224272,8.955511,-0.08575126,0.23768012,-0.035019536,51.787502,-17.737501,-18.6,-0.4060579,4.313933,8.79747,258.9677,0.0,0.0,0.75202,-0.6915057,0.158041,0
2026-01-07 14:13:25.740,-0.27473465,4.268263,8.938153,0.24234052,0.323964,-0.3451355,51.881252,-17.38125,-17.962502,-0.5540848,4.318498,8.7871475,261.93954,0.0,0.0,0.27935013,-0.05023527,0.15100574,0
2026-01-07 14:13:25.790,-1.30484,5.0463786,8.244433,0.24234052,0.1631138,-0.2162423,52.781254,-17.550001,-17.4375,-0.7428074,4.44038,8.712155,267.86816,0.0,0.0,-0.5620326,0.6059985,-0.46772194,0
2026-01-07 14:13:25.840,-1.1552023,4.5819035,7.9170265,-0.027163442,0.23341918,0.12689589,53.006252,-17.7,-17.15625,-0.84492475,4.5112877,8.666301,266.4278,0.0,0.0,-0.31027752,0.07061577,-0.74927425,0
2026-01-07 14:13:25.890,-0.82779527,4.4538136,8.610746,-0.19014409,0.28455037,0.049133874,52.706253,-17.60625,-17.025002,-0.9348788,4.4687333,8.679101,263.7281,0.0,0.0,0.10708356,-0.014919758,-0.06835461,0
2026-01-07 14:13:25.940,-1.1707647,4.4448357,8.929773,-0.012250179,0.01611165,0.01611165,52.706253,-17.25,-17.7,-1.0146749,4.4093323,8.700495,264.66022,0.0,0.0,-0.15608978,0.035503387,0.22927856,0
