Timestamp,MAC_Address,RSSI,Phone_Direction,Position_X,Position_Y,Step_Count,Target_Direction
2025-12-28 13:25:18.975,E7:4F:E3:A1:19:CF,-61,203.95155,-5.7796545,-23.348965,67,222.18268
2025-12-28 13:25:20.991,E7:4F:E3:A1:19:CF,-48,225.08713,-5.7796545,-23.348965,67,222.18268
2025-12-28 13:25:22.975,E7:4F:E3:A1:19:CF,-47,238.85034,-5.7796545,-23.348965,67,222.18268
2025-12-28 13:25:24.978,E7:4F:E3:A1:19:CF,-51,211.94196,-6.6101565,-23.90221,69,222.18268
2025-12-28 13:25:27.001,E7:4F:E3:A1:19:CF,-47,210.1819,-6.6101565,-23.90221,69,222.18268
2025-12-28 13:25:28.999,E7:4F:E3:A1:19:CF,-40,235.09888,-6.6101565,-23.90221,69,222.18268
2025-12-28 13:25:33.013,E7:4F:E3:A1:19:CF,-41,221.24252,-6.6101565,-23.90221,69,222.18268
2025-12-28 13:25:35.014,E7:4F:E3:A1:19:CF,-40,223.57536,-6.6101565,-23.90221,69,222.18268
2025-12-28 13:25:37.025,E7:4F:E3:A1:19:CF,-39,226.94446,-6.6101565,-23.90221,69,222.18268
2025-12-28 13:25:39.025,E7:4F:E3:A1:19:CF,-50,211.86746,-6.6101565,-23.90221,69,132.18268
