Timestamp,MAC_Address,RSSI,Device_Name,Payload_Hex,Payload_Length,Connectable
2026-01-05 19:39:53.223,C1:42:43:44:45:46,-75,Unknown Device,1EFF4C00121910FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0100,31,False
2026-01-05 19:39:54.907,E7:4F:E3:A1:19:CF,-42,Unknown Device,1EFF4C00121910D1784D2B3EB3ECAA390FB68AD3879057061439ABA49A0000,31,False
2026-01-05 19:39:55.247,C1:42:43:44:45:46,-82,Unknown Device,1EFF4C00121910FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0100,31,False
2026-01-05 19:39:56.299,C0:10:83:10:51:87,-70,Unknown Device,1EFF4C0012191020FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000,31,False
2026-01-05 19:39:56.930,E7:4F:E3:A1:19:CF,-47,Unknown Device,1EFF4C00121910D1784D2B3EB3ECAA390FB68AD3879057061439ABA49A0000,31,False
2026-01-05 19:39:57.231,C1:42:43:44:45:46,-91,Unknown Device,1EFF4C00121910FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0100,31,False
2026-01-05 19:39:58.917,E7:4F:E3:A1:19:CF,-39,Unknown Device,1EFF4C00121910D1784D2B3EB3ECAA390FB68AD3879057061439ABA49A0000,31,False
2026-01-05 19:39:59.231,C1:42:43:44:45:46,-93,Unknown Device,1EFF4C00121910FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0100,31,False
2026-01-05 19:40:00.916,E7:4F:E3:A1:19:CF,-35,Unknown Device,1EFF4C00121910D1784D2B3EB3ECAA390FB68AD3879057061439ABA49A0000,31,False
2026-01-05 19:40:02.313,C0:10:83:10:51:87,-64,Unknown Device,1EFF4C0012191020FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000,31,False
2026-01-05 19:40:03.266,C1:42:43:44:45:46,-79,Unknown Device,1EFF4C00121910FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0100,31,False
2026-01-05 19:40:04.941,E7:4F:E3:A1:19:CF,-37,Unknown Device,1EFF4C00121910D1784D2B3EB3ECAA390FB68AD3879057061439ABA49A0000,31,False
2026-01-05 19:40:05.296,C1:42:43:44:45:46,-79,Unknown Device,1EFF4C00121910FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0100,31,False
2026-01-05 19:40:06.983,E7:4F:E3:A1:19:CF,-38,Unknown Device,1EFF4C00121910D1784D2B3EB3ECAA390FB68AD3879057061439ABA49A0000,31,False
2026-01-05 19:40:07.273,C1:42:43:44:45:46,-85,Unknown Device,1EFF4C00121910FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0100,31,False
