Address,Start,End,Duration
DA:BF:F5:EA:47:2A,2025-05-31 20:59:00,2025-05-31 21:10:00,0 days 00:11:00
DA:D2:CE:56:A2:E5,2025-05-31 20:35:00,2025-05-31 20:59:00,0 days 00:24:00
DC:04:CA:9D:07:CD,2025-06-01 14:30:00,2025-06-01 14:56:00,0 days 00:26:00
DC:29:C6:31:0F:B3,2025-05-31 22:06:00,2025-05-31 22:40:00,0 days 00:34:00
DC:C5:96:E2:53:86,2025-06-01 16:22:00,2025-06-01 16:47:00,0 days 00:25:00
DF:75:AC:84:5F:1C,2025-05-31 16:01:00,2025-05-31 16:27:00,0 days 00:26:00
DF:85:5F:07:82:64,2025-06-02 18:44:00,2025-06-02 19:18:00,0 days 00:34:00
DF:90:3F:8C:B9:4F,2025-05-31 20:10:00,2025-05-31 20:35:00,0 days 00:25:00
E0:EE:53:92:2D:C8,2025-06-02 15:23:00,2025-06-02 15:31:00,0 days 00:08:00
E1:AE:CD:B6:B0:5B,2025-06-01 10:40:00,2025-06-01 10:59:00,0 days 00:19:00
E1:BA:F2:22:54:EA,2025-06-01 23:00:00,2025-06-01 23:15:00,0 days 00:15:00
E1:C7:7E:07:85:9F,2025-06-02 05:47:00,2025-06-02 06:12:00,0 days 00:25:00
E1:C9:C6:A4:61:38,2025-06-01 15:47:00,2025-06-01 16:13:00,0 days 00:26:00
E2:01:AA:02:24:82,2025-06-02 13:09:00,2025-06-02 13:25:00,0 days 00:16:00
E2:9F:64:85:F0:ED,2025-06-02 07:50:00,2025-06-02 08:16:00,0 days 00:26:00
E3:26:EF:6F:00:2A,2025-06-02 10:31:00,2025-06-02 10:55:00,0 days 00:24:00
E4:5A:D8:CA:75:9C,2025-06-01 07:25:00,2025-06-01 07:30:00,0 days 00:05:00
E5:04:D3:17:E6:0C,2025-06-01 02:47:00,2025-06-01 03:08:00,0 days 00:21:00
E5:52:5D:6E:08:58,2025-06-01 04:04:00,2025-06-01 04:30:00,0 days 00:26:00
E5:BA:FE:AC:9A:7B,2025-06-02 03:16:00,2025-06-02 03:42:00,0 days 00:26:00
E5:D7:97:3B:D6:A9,2025-06-01 19:18:00,2025-06-01 19:44:00,0 days 00:26:00
E5:DB:9A:C3:DE:E2,2025-06-01 00:00:00,2025-06-01 00:25:00,0 days 00:25:00
E6:33:E4:94:88:5C,2025-06-02 07:30:00,2025-06-02 07:50:00,0 days 00:20:00
E6:DE:9F:D9:F8:DD,2025-06-01 02:00:00,2025-06-01 02:20:00,0 days 00:20:00
E7:28:CA:60:7C:92,2025-06-01 14:22:00,2025-06-01 14:30:00,0 days 00:08:00
E7:5D:AB:07:7B:06,2025-06-01 13:57:00,2025-06-01 14:22:00,0 days 00:25:00
E7:6F:A2:8F:25:84,2025-06-01 09:52:00,2025-06-01 10:06:00,0 days 00:14:00
E7:FF:D5:08:49:F5,2025-06-02 08:41:00,2025-06-02 09:07:00,0 days 00:26:00
E8:52:60:9D:C4:38,2025-06-01 00:51:00,2025-06-01 01:17:00,0 days 00:26:00
E8:93:2D:18:67:09,2025-06-01 01:39:00,2025-06-01 02:00:00,0 days 00:21:00
EA:49:70:A9:C2:B0,2025-06-01 05:55:00,2025-06-01 06:21:00,0 days 00:26:00
EA:AB:7B:FF:40:66,2025-06-02 17:56:00,2025-06-02 18:21:00,0 days 00:25:00
EA:E0:13:3F:16:93,2025-06-02 20:44:00,2025-06-02 21:06:00,0 days 00:22:00
EA:E3:BB:F7:1E:9E,2025-05-31 21:15:00,2025-05-31 21:40:00,0 days 00:25:00
EA:EA:8B:80:5A:13,2025-06-01 22:40:00,2025-06-01 23:00:00,0 days 00:20:00
EA:FB:3A:7F:F3:1A,2025-05-31 19:03:00,2025-05-31 19:18:00,0 days 00:15:00
EB:E8:36:1B:26:B8,2025-06-02 20:18:00,2025-06-02 20:44:00,0 days 00:26:00
EB:F4:A7:81:79:D2,2025-05-31 21:11:00,2025-05-31 21:14:00,0 days 00:03:00
EC:03:A6:45:A1:6E,2025-05-31 23:50:00,2025-06-01 00:00:00,0 days 00:10:00
ED:24:1B:FC:F0:61,2025-06-02 01:17:00,2025-06-02 01:42:00,0 days 00:25:00
ED:2D:8D:94:7A:91,2025-06-01 14:56:00,2025-06-01 15:21:00,0 days 00:25:00
EE:A6:52:EC:D1:B5,2025-06-02 02:18:00,2025-06-02 02:50:00,0 days 00:32:00
EE:BF:8C:CF:4B:EB,2025-06-02 20:09:00,2025-06-02 20:18:00,0 days 00:09:00
EF:42:6A:50:41:B9,2025-06-02 14:48:00,2025-06-02 15:13:00,0 days 00:25:00
EF:D1:4E:7F:C1:CB,2025-05-31 19:44:00,2025-05-31 20:10:00,0 days 00:26:00
F0:09:00:88:F7:7E,2025-06-02 08:16:00,2025-06-02 08:41:00,0 days 00:25:00
F0:12:01:87:B9:C2,2025-06-01 10:59:00,2025-06-01 11:13:00,0 days 00:14:00
F0:19:D4:36:CD:13,2025-06-01 16:47:00,2025-06-01 17:13:00,0 days 00:26:00
F0:F7:D0:99:84:A9,2025-06-02 01:42:00,2025-06-02 01:59:00,0 days 00:17:00
F1:11:92:14:71:DB,2025-06-02 09:30:00,2025-06-02 09:55:00,0 days 00:25:00
F1:63:58:3D:98:4A,2025-06-01 11:26:00,2025-06-01 11:49:00,0 days 00:23:00
F1:B9:5D:0E:1B:2B,2025-06-01 05:04:00,2025-06-01 05:29:00,0 days 00:25:00
F2:41:AC:91:B5:EB,2025-05-31 16:27:00,2025-05-31 16:52:00,0 days 00:25:00
F2:71:A5:F9:11:FC,2025-06-02 07:00:00,2025-06-02 07:29:00,0 days 00:29:00
F2:78:30:56:C0:44,2025-06-01 06:21:00,2025-06-01 06:47:00,0 days 00:26:00
F2:EB:9C:B3:92:E1,2025-05-31 14:02:00,2025-05-31 14:22:00,0 days 00:20:00
F3:05:4F:AC:79:77,2025-06-01 01:17:00,2025-06-01 01:39:00,0 days 00:22:00
F3:66:5B:4A:C7:73,2025-06-01 04:30:00,2025-06-01 05:04:00,0 days 00:34:00
F3:AE:09:1C:20:C7,2025-05-31 16:52:00,2025-05-31 17:21:00,0 days 00:29:00
F4:E0:1F:2E:A2:C6,2025-06-01 19:44:00,2025-06-01 20:09:00,0 days 00:25:00
F4:F1:4A:EA:17:4D,2025-06-01 17:39:00,2025-06-01 18:04:00,0 days 00:25:00
F5:41:0E:8A:28:9D,2025-06-02 00:25:00,2025-06-02 00:51:00,0 days 00:26:00
F5:4C:1A:EA:BD:9C,2025-06-01 07:30:00,2025-06-01 08:01:00,0 days 00:31:00
F5:BA:0F:03:53:73,2025-06-01 09:30:00,2025-06-01 09:52:00,0 days 00:22:00
F5:C2:73:85:47:2B,2025-06-02 04:07:00,2025-06-02 04:30:00,0 days 00:23:00
F5:E9:87:5E:0D:BE,2025-05-31 18:37:00,2025-05-31 19:03:00,0 days 00:26:00
F5:F8:EB:8A:2C:60,2025-06-01 20:35:00,2025-06-01 21:00:00,0 days 00:25:00
F6:64:52:21:84:2D,2025-06-01 21:15:00,2025-06-01 21:45:00,0 days 00:30:00
F6:D0:C1:2C:13:F5,2025-06-02 00:00:00,2025-06-02 00:25:00,0 days 00:25:00
F6:F6:F3:42:24:FD,2025-06-01 08:18:00,2025-06-01 08:30:00,0 days 00:12:00
F7:D0:7C:DB:6B:A8,2025-06-02 17:05:00,2025-06-02 17:30:00,0 days 00:25:00
F8:51:D8:18:9B:E1,2025-06-02 06:12:00,2025-06-02 06:38:00,0 days 00:26:00
F8:78:42:DA:84:A4,2025-05-31 23:15:00,2025-05-31 23:34:00,0 days 00:19:00
F9:EF:4B:A6:9E:62,2025-06-02 15:31:00,2025-06-02 16:08:00,0 days 00:37:00
FA:02:A2:A1:BC:4F,2025-06-01 11:49:00,2025-06-01 12:22:00,0 days 00:33:00
FB:A0:FE:2B:B4:E0,2025-06-01 23:15:00,2025-06-01 23:40:00,0 days 00:25:00
FB:BB:D2:0B:85:66,2025-06-01 23:50:00,2025-06-02 00:00:00,0 days 00:10:00
FB:BE:5B:10:DD:03,2025-06-02 13:25:00,2025-06-02 13:31:00,0 days 00:06:00
FC:6F:3B:6F:F6:47,2025-06-02 15:13:00,2025-06-02 15:23:00,0 days 00:10:00
FC:99:EE:7D:2A:F5,2025-06-01 11:13:00,2025-06-01 11:25:00,0 days 00:12:00
FC:9F:5F:28:74:9E,2025-05-31 18:08:00,2025-05-31 18:20:00,0 days 00:12:00
FC:E5:C1:75:05:9F,2025-06-01 22:00:00,2025-06-01 22:40:00,0 days 00:40:00
FD:0D:B3:88:8F:12,2025-06-02 11:52:00,2025-06-02 12:17:00,0 days 00:25:00
FD:F5:78:FB:F5:CE,2025-05-31 17:21:00,2025-05-31 17:49:00,0 days 00:28:00
FE:2D:0B:13:66:97,2025-06-02 10:55:00,2025-06-02 11:21:00,0 days 00:26:00
FE:C3:81:38:A7:1C,2025-06-01 20:09:00,2025-06-01 20:35:00,0 days 00:26:00
FF:05:B2:4E:9D:B6,2025-06-01 05:29:00,2025-06-01 05:55:00,0 days 00:26:00
FF:69:0A:61:F2:52,2025-06-01 02:39:00,2025-06-01 02:47:00,0 days 00:08:00
FF:84:2B:11:E6:38,2025-06-01 18:30:00,2025-06-01 18:56:00,0 days 00:26:00
