Address,Start,End,Duration
D6:A8:D7:B0:DF:52,2025-06-09 04:00:00,2025-06-09 12:31:00,0 days 08:31:00
DA:FD:A9:A0:91:B1,2025-06-07 04:00:00,2025-06-08 04:00:00,1 days 00:00:00
E2:DA:0E:29:73:DA,2025-06-05 04:00:00,2025-06-06 03:59:00,0 days 23:59:00
E3:1B:C1:58:E8:CE,2025-06-03 19:15:00,2025-06-03 19:25:00,0 days 00:10:00
F5:96:C2:EA:60:0F,2025-06-08 04:00:00,2025-06-09 03:59:00,0 days 23:59:00
F7:32:FF:65:21:2E,2025-06-03 19:11:00,2025-06-04 03:59:00,0 days 08:48:00
F8:24:19:2B:D8:9D,2025-06-04 04:00:00,2025-06-05 04:00:00,1 days 00:00:00
FC:37:EA:61:B1:10,2025-06-06 04:00:00,2025-06-07 03:59:00,0 days 23:59:00
