Address,Start,End,Duration
CB:BC:DD:A5:E6:29,2025-05-29 03:59:00,2025-05-30 03:59:00,1 days 00:00:00
D6:B4:EC:A9:E4:01,2025-05-31 03:59:00,2025-05-31 13:02:00,0 days 09:03:00
E5:59:E6:4D:C5:80,2025-05-30 03:59:00,2025-05-31 03:59:00,1 days 00:00:00
F8:66:B2:AE:00:30,2025-05-28 16:26:00,2025-05-29 03:59:00,0 days 11:33:00
